,TITLE,PRICE,LOCATION,ROOM,AREA
187,"KOZYATAĞI İÇİ FULL YENİLENMİŞ FERAH,AYDINLIK SATILIK DAİRE",5250000,"Göztepe, Kadıköy",1+1,117 m²
188,CENTURY 21.SAHRA'DAN MİMARİ TASARIMLI 4+1 160M2 NET SÜPER LÜKS,6280000,"Bostancı, Kadıköy",3+1,190 m²
189,CENTURY 21. SAHRA'DAN BAĞDAT'A YÜRÜME MESAFESİNDE 3+1 İÇİ YAPILI,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
190,CENTURY 21.SAHRA'DAN BAĞDAT'A ÇOK YAKIN YENİ BİNADA 4+2 DUBLEKS,240000000,"Kozyatağı, Kadıköy",,4172 m²
191,CENTURY 21.SAHRA'DAN BAYAR CAD. YAKIN 2005 YAPIMI İÇİ YAPILI 3+1,9950000,"Bostancı, Kadıköy",4+1,160 m²
192,CENTURY 21.SAHRA'DAN MARMARAYA YAKIN KATTA TEK 4+1 İÇİ YAPILI,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
193,NURSEL ONAR'dan ACIBADEM İNTA9 SİT. 3+1 SATILIK DAİRE,13200000,"Suadiye, Kadıköy",4+2,230 m²
194,"KADIKÖY, MODA CADDESİ ÜZERİNDE 160 M2 NET 3 + 1 SATILIK DAİRE",10300000,"Suadiye, Kadıköy",4+1,165 m²
195,"Kozyatağı, Bayar Caddesinde, Satılık 2 + 1 Daire",7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
196,Mutlu Aydın'dan Kadıköy Moda'ya çok yakın Lüks 3+1,10300000,"Suadiye, Kadıköy",4+1,165 m²
197,TEK YETKİLİDEN!! DÖRTYOLDA 7YILLIK ARAKAT 2+1 85m²ŞAHANE DAİRE,290000000,"Fenerbahçe, Kadıköy",,2987 m²
198,NAUTILUS AVM KARŞISI GİRİŞKAT İÇERİSİ YAPILI 2+1 95m² DAİRE,12000000,"19 Mayıs, Kadıköy",1+1,180 m²
199,ACIBADEM METROSUNA 200m² MESAFEDE OTOPARKLI 4+2 140m²DUBLEXDAİRE,5975000,"Suadiye, Kadıköy",2+1,95 m²
200,ACIBADEM CAD.3.BİNA PAZAR SOKAĞI 2+1 100m²ŞAHANE KONUMLU DAİRE,13950000,"Zühtüpaşa, Kadıköy",,212 m²
201,ACIBADEM CAD.ÜZERİ ŞAHANE KONUM 4+2 270m² DUBLEX DAİRE,3750000,"Caferağa, Kadıköy",2+1,100 m²
202,,21500000,"Caddebostan, Kadıköy",4+2,300 m²
203,KADIKÖY HALİTAĞA CADDESİ'NDE SATILIK BAHÇELİ MÜSTAKİL BİNA,8975000,"Suadiye, Kadıköy",3+1,130 m²
204,"Acıbadem' de Satılık 2+1, 95 m2",7395000,"Erenköy, Kadıköy",3+1,165 m²
205,KOZYATAĞINDA MERKEZİ KONUMDA SATILIK 1+1 OFİS/İŞYERİ,6650000,"Göztepe, Kadıköy",3+1,150 m²
